City,State,Zip,Aspergillus flavus/oryzae,Aspergillus fumigatus,Aspergillus niger,Aspergillus ochraceus,Aspergillus penicillioides,Aspergillus restrictus*,Aspergillus sclerotiorum,Aspergillus sydowii,Aspergillus unguis,Aspergillus versicolor,Aureobasidium pullulans,Chaetomium globosum,Cladosporium sphaerospermum,Eurotium (Asp.) amstelodami*,Paecilomyces variotii,Penicillium brevicompactum,Penicillium corylophilum,Penicillium crustosum*,Penicillium purpurogenum,Penicillium spinulosum*,Penicillium variabile,Scopulariopsis brevicaulis/fusca,Scopulariopsis chartarum,Stachybotrys chartarum,Trichoderma viride*,Wallemia sebi,Acremonium strictum,Alternaria alternata,Aspergillus ustus,Cladosporium cladosporioides 1,Cladosporium cladosporioides 2,Cladosporium herbarum,Epicoccum nigrum,Mucor amphibiorum*,Penicillium chrysogenum,Rhizopus stolonifer,ERMI Score (Group I - Group II),Circulatory_loworreactivebloodpressure
Brookevile,Maryland,20833,5,27,43,0,0,127,7,19,0,183,2713,0,53,625,15,252,6,0,0,0,20,112,20,0,48,51,177,75,0,0,0,0,2417,363,7,0,13.1,0
Bethesda,Maryland,20817-5925,5,46,70,303,0,294,115,15,361,641,3077,112,569,1084,263,568,57,35,3,3,17,30,38,19,129,5546,102,81,59,0,0,0,1970,49,125,0,33.7,0
Churchton,Maryland,20733-9609,3,25,295,11,0,12,19,21,0,423,4296,27,344,328,11,851,50,23,0,0,220,7,5,6,18,193,14,116,6,0,0,0,3273,697,28,4,18.2,0
Upperco,Maryland,21155,1,5,260,2,0,26,5,0,0,7,330,8,780,360,14,17,66,2,0,0,7,2,2,0,2,480,270,10,2,0,0,0,26000,120,34,7,5.59,0
Upperco,Maryland,21155,1,3,18,1,0,4,19,0,0,99,250,8,79,150,7,16,55,0,0,0,9,1,1,0,3,140,61,24,10,0,0,0,400,50,58,0,6.58,0
Cambridge,Massachusetts,2141,0,0,68,39,49,0,0,0,0,0,659,0,46,377,0,85,0,21,7,0,12,0,0,0,17,16,5,10,6,307,10,16,28,10,30,0,8.7,0
Attleboro,Massachusetts,2703,0,14,83,33,746,27,213,0,0,613,2601,12,48,866,15,110,20,0,0,0,12,5,35,0,43,98,26,55,3,2424,97,214,465,19,20,14,16.8,1
Ipswich,Massachusetts,1938,0,2,115,0,100,0,0,0,0,46,259,54,5,141,0,18,16,35,0,0,0,0,0,0,7,12,0,23,9,302,10,23,147,33,7,0,7.3,1
Ipswich,Massachusetts,1938,10,79,449,103,2311,40,118,0,0,164,1736,5,84,1543,21,1168,113,62,0,3,15,83,45,5,114,417,83,92,20,11608,237,1210,985,46,26,0,23.8,0
IPSWICH,Massachusetts,1938,0,2,41,0,1042,26,4,0,0,58,4531,17,6,19786,2,13,32,37,0,0,0,4349,0,0,5,1737,377,72,0,1902,22,664,360,32,10,0,13.9,1
